Title,Company,Location,Type,Level,YearsExp,Country,Skills,MinYearsExp,MaxYearsExp
Senior AP Accountant,MODON Developments, Sheikh Zayed,Full Time,Experienced,5-7 Yrs of Exp,Giza,"Real Estate Development, SAP, Accounting, Finance, AP, Commerce, English, ERP, Construction, Microsoft Office",5,7
Receptionist,Confidential, Mohandessin,Full Time,Experienced,2+ Yrs of Exp,Giza,"Office Management, Microsoft Office, Administration",2,4
Financial Controller,MODON Developments, Sheikh Zayed,Full Time,Manager,10-16 Yrs of Exp,Giza,"SAP, Finance, Accounting, Financial Analysis, Financial Management, CPA, ERP Implementation, English, Arabic",10,16
Façade Surveying Engineer,Smart Window, Cairo,Full Time,Experienced,3-6 Yrs of Exp,Egypt,"Quantity Surveying, QS, Architecture, AutoCAD, FACADE, Engineering - Construction/Civil/Architecture",3,6
Senior Actuary Specialist- Planning And...,Allianz, New Cairo,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Controlling, Life Actuarial, Quality Assurance, Quality Control, Accounting, Finance, MS Office, Accounting/Finance, Quality",3,5
Façade Design Director,Smart Window, New Cairo,Full Time,Manager,7-10 Yrs of Exp,Cairo,"Architecture, Construction, Facade, Design, Curtain Wall, Aluminum, Engineering - Construction/Civil/Architecture",7,10
Administration Manager,Arabia Holding, Nozha,Full Time,Manager,15+ Yrs of Exp,Cairo,"Administration, Microsoft Office, Office Management, Construction, Secretary, Real Estate, Administration",15,17
SAP Consultant,Confidential, Heliopolis,Full Time,Entry Level,1-5 Yrs of Exp,Cairo,"Real Estate, SAP PS, SAP RE, SAP HCM, SAP FICO, Information Technology (IT), Computer Science, SAP Maintenance, Construction",1,5
Chief Accountant,Confidential, Sheraton,Full Time,Manager,7-12 Yrs of Exp,Cairo,"CMA, IFRS, Accounting, MS Dynamics, Advanced Excel, Communication Skills, Leadership, Finance, Financial Management, Financial Analysis",7,12
Head Of Grapes Production Section,Confidential, Minya,Full Time,Manager,7-10 Yrs of Exp,Egypt,"Manufacturing, Grapes, Agriculture, Farming, Manufacturing/Production, Engineering - Other",7,10
Mechanical Engineer,Nama, New Damietta,Full Time,Entry Level,0-3 Yrs of Exp,Damietta,"Mechanical Engineering, Electrical Engineering, Maintenance, Communication Skills, Installation/Maintenance/Repair",0,3
Accountant,Kiromarble for marble and granite, Maadi,Full Time,Experienced,2-3 Yrs of Exp,Cairo,"Oracle, Finance, Financial Analysis, Financial Management, Cost Accounting, SAP, Microsoft Office, Accounting/Finance",2,3
Account Manager - Employee Benefits,Allianz, New Cairo,Full Time,Experienced,5-8 Yrs of Exp,Cairo,"Employee Benefits, Account Management, Employee Relations, Microsoft Office, English, Arabic, LUMA, Business Management, Finance",5,8
Head Of Pomegranate Production Section,Confidential, Minya,Full Time,Manager,7-10 Yrs of Exp,Egypt,"Agriculture, Farming, Pomegranate, Manufacturing, Manufacturing/Production, Engineering - Other",7,10
Senior Data Center Preparation Pre-Sales Engineer...,Interact Technology Solutions, Maadi,Full Time,Experienced,10+ Yrs of Exp,Cairo,"Networking, CCNA, CCNP, HLD, LLD, CCDP, Telecommunication, Customer Service, Information Technology (IT), Computer Science",10,12
Receptionist,Confidential, Obour City,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Office Management, English, Microsoft Office, Administration, Communication Skills, Administration, Customer Service/Support",1,3
Senior HR Generalist,Englizya for public transportation, Shubra,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Human Resources (HR), Personnel, OD, Senior, Microsoft Office, Payroll, Training, English, HR, Human Resources",3,5
Marketing Representative (Raw Material) From Alex...,Pharmaceutical Egyptian Association, Alexandria,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Pharmacutical, Medical, Sales, Marketing/PR/Advertising, Sales/Retail, Pharmaceutical",3,5
Technical Sales Engineer,Elnady Engineering & Agencies, Nasr City,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Sales Target, Retail, Software Sales, Marketing, Customer Service, Customer Care, Customer Support, Mechanical Engineering, English",2,4
Blocks Quality Control Manager,Pretty House, 10th of Ramadan City,Full Time,Manager,5-10 Yrs of Exp,Cairo,"Testing, Quality Assurance, Engineering, Maintenance, Inspection, TO, Implementation, Manufacturing/Production, Quality",5,10
Senior UX Designer,Easy Cash, Heliopolis,Full Time,Experienced,4+ Yrs of Exp,Cairo,"UX, Information Technology (IT), Computer Science, HTML5, CSS3, JavaScript, InVision, Sketch, UCD, Wireframe, Creative/Design/Art",4,6
Banking Accountant,Confidential, Nasr City,Full Time,Experienced,5-7 Yrs of Exp,Cairo,"Accounting, Banking, Financial Analysis, Accounting/Finance, Banking",5,7
Digital Marketing & Content Manager,Matwaffar, Maadi,Full Time,Experienced,3-6 Yrs of Exp,Cairo,"digital marketing, design, Social Media Marketing, Creation, Editing, Planning, Graphics, Operations/Management, Marketing/PR/Advertising",3,6
Sales Manager,Confidential, Cairo,Full Time,Manager,6+ Yrs of Exp,Egypt,"Catering, Computer Skills, English, Food-service, Hospitality/Hotels/Food Services, Operations/Management, Sales/Retail",6,8
Business Development Engineer,Floortec, Sheikh Zayed,Full Time,Entry Level,1-5 Yrs of Exp,Giza,"Business Development, Construction, Sales Engineer, Architecture, Civil Engineering, Ready-Mix Concrete, Business Development",1,5
Medical Approval / Customer Success Officer,Beyond Solution, Maadi,Full Time,Shift Based,2-3 Yrs of Exp,Cairo,"3 Vacancies, Pharmacy, Customer Service, Customer Care, Customer Support, Call Center, Medical Approvals, Microsoft Office, Arabic",2,3
Operations Executive Remote Working,Confidential, Cairo,Part Time,Experienced,3-5 Yrs of Exp,Egypt,"operation, call center, customer servies, Computer Science, MySQL, Oracle, MSSQL, manage work, Operations/Management",3,5
Sales Engineer (B2B) - Alexandria,Advanced Chemical Industries, Smouha,Full Time,Experienced,4-6 Yrs of Exp,Alexandria,"Sales Target, Sales Engineering, Mechanical Engineering, Civil Engineering, B2B Selling, Engineering - Construction/Civil/Architecture",4,6
Senior HR Specialist,Notion International School, Faisal,Full Time,Experienced,3-5 Yrs of Exp,Giza,"Recruitment, Personnel, Labor Law, Training, HR, Insurance, HR Diploma, Human Resources",3,5
Content Creator,EMIRATES BARQ, Aswan,Full Time,Entry Level,1-5 Yrs of Exp,Egypt,"Generate ideas, make suggestions, Marketing, Social Media, Writing, Writing/Editorial, Marketing/PR/Advertising",1,5
Legal Consultant -Alex,EMIRATES BARQ, Alexandria,Part Time,Work From Home,1-7 Yrs of Exp,Egypt,"legal, consaltant, Legal, Strategy/Consulting",1,7
"Web Designer ""WordPress Elementor"" - Remotely -...",Eagle Air, Dokki,Internship,Entry Level,0 Yrs of Exp,Giza,"UX, UI, Web Design, Graphic Design, Photoshop, Adobe XD, Software Engineering, Software Development, IT, Computer Science",0,2
SEO Specialist - Remotely -Unpaid Internship,Eagle Air, Dokki,Internship,Entry Level,0 Yrs of Exp,Giza,"SEO, English, Social Media, Digital Marketing, E-marketing, Marketing/PR/Advertising, Media/Journalism/Publishing",0,2
Workshop Supervisor ( Body & Paint ),Mitsubishi Motors (DMC), Giza,Full Time,Manager,2-3 Yrs of Exp,Egypt,"Body & Paint, EOR, Engineering - Mechanical/Electrical",2,3
Body & Paint Service Advisor Engineer -...,Mitsubishi Motors (DMC), Giza,Full Time,Entry Level,1+ Yrs of Exp,Egypt,"Customer Service, Mechanical Engineering, Customer Care, English, Body & Paint, Sales Skills, Quality, Customer Service/Support",1,3
Secretary/Personal Assistant,Gorbits, Mohandessin,Full Time,Entry Level,1-4 Yrs of Exp,Giza,"Administration, Office Management, Microsoft Office, Communication, Time management, Administrative, Administration",1,4
Mobile Developer ( Android watch ),Safa Soft, Maadi,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Android, Mobile Development, Mobile Applications, IT/Software Development, Engineering - Telecom/Technology",3,5
Sales Manager,Stanza Egypt, Katameya,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Sales Target, Customer Service, Communication, Excel, Office, English, Sales/Retail",2,5
Sales Representative,Lemans Group, New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Sales Skills, Sales Target, CRM, MS Office, Communication, Negotiation Skills, BRM, Selling, Sales/Retail",1,3
English Instructor,American Egyptian Academy, Nasr City,Part Time,Entry Level,1-3 Yrs of Exp,Cairo,"Education, Training, Teaching, TESOL, TEFL, CELTA, Learning, English Literature, Education/Teaching, Training/Instructor",1,3
Embedded firmware developer C / C++,Confidential, Mansoura,Full Time,Experienced,0-5 Yrs of Exp,Dakahlia,"C/C++, Engineering, IT/Software Development",0,5
Partner & Business Development Manager,Confidential, New Cairo,Full Time,Manager,10+ Yrs of Exp,Cairo,"Management, Construction, Sales Skills, Sales Target, Business Development",10,12
Sales Specialist Real Estate,Oscar Developments, New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Real Estate, Sales Skills, Sales Target, Customer Service, Customer Care, Communication Skills, Sales/Retail",1,3
Account Manager,IKEN Technology, Maadi,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Customer Service, Sales Target, Account Management, English, Business Administration, Sales/Retail",2,4
Motion Graphics Video Editor - Alexandria,OVEQ, Glim,Full Time,Entry Level,1-3 Yrs of Exp,Alexandria,"Video Editing, Motion Graphics, Creative, Graphic Design, Final Cut, Design Tools, Animation Tools, Adobe Illustrator, Storyline",1,3
Mobile Developer - ReactNative,IKEN Technology, Maadi,Full Time,Entry Level,1+ Yrs of Exp,Cairo,"Computer Science, Android, Software Development, Mobile Development, Engineering, RESTful, React-Native, UI, UX",1,3
IOS Developer,IKEN Technology, Maadi,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Computer Science, iOS, Software Development, Swift, Mobile Development, Git, RESTful APIs, Design, MVVM, Telecom",1,3
Electrical Engineer Instructor,Engosoft, Nasr City,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Males Only, Design, Presentation Skills, Teaching, insructor, Electrical Engineering, Revit, Low Current, Lighting, Power",3,5
Senior Sales Advisor - Corporate Medical...,Amanleek, Cairo,Full Time,Experienced,2-5 Yrs of Exp,Egypt,"Negotiation, Communication, Prospecting, Sales Skills, Sales Target, English, B2B2C, Medical Insurance Sales, Sales/Retail",2,5
Mechanical Engineering Instructor - Cairo,Engosoft, Nasr City,Full Time,Experienced,3-6 Yrs of Exp,Cairo,"Males Only, Revit, Elite, HAP, Mechanical instructor, Sales Skills, Mechanical Engineering, HVAC, Design, Power",3,6
Full Stack Web Developer,Amanleek, New Cairo,Full Time,Entry Level,0-3 Yrs of Exp,Cairo,"JS, Full Stack, HTML, CSS, PHP, MySQL, Information Technology (IT), Computer Engineering, Computer Science, Web Development, SOLID",0,3
PR & Marketing Specialist,MFN Family, Heliopolis,Full Time,Experienced,2-8 Yrs of Exp,Cairo,"Public Relations (PR), Social Media, English, Digital Marketing, E-marketing, Marketing/PR/Advertising, Media/Journalism/Publishing",2,8
Property Consultant,CAPITAL REAL ESTATE CONSULTANCEY, Cairo,Full Time,Entry Level,1-4 Yrs of Exp,Egypt,"Real Estate, Sales Skills, Sales Target, Sales/Retail",1,4
Financial Accountant,EL KHETA, Alexandria,Full Time,Entry Level,1-3 Yrs of Exp,Egypt,"Financial Analysis, Finance, Financial Management, E-commerce, Taxes, Legal, Accounting/Finance",1,3
Draftsman,Jozoor Landspaces, New Capital,Full Time,Experienced,3-6 Yrs of Exp,Cairo,"Design, Revit, Engineering, Architecture, Drafter, 3D, Engineering - Construction/Civil/Architecture, Creative/Design/Art",3,6
Key Account Manager (Retail),Bingo Global, Cairo,Full Time,Manager,3-5 Yrs of Exp,Egypt,"Sales Target, Customer Care, English, Communication, Retail, Customer Service, Business Development, Customer Service/Support",3,5
Electrical Engineer,Wadi Group, Alsadat City,Full Time,Experienced,3-6 Yrs of Exp,Monufya,"Computer Skills, Microsoft Office, English, Arabic, Mechanical Engineering, Engineering - Mechanical/Electrical",3,6
Quantity Surveyor Engineer,Jozoor Landspaces, New Capital,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"AutoCAD, Architecture, Civil Engineering, QS, Costing, Cost Estimation, Computer Skills",3,5
Telesales Agent,Falcon Group, 6th of October,Full Time,Work From Home,1-2 Yrs of Exp,Giza,"10 Vacancies, Females Only, Sales Skills, Sales Target, Customer Care, Customer Support, Call Center, Telemarketing, English",1,2
Students Affairs specialist,Badr University in Cairo (BUC), Badr City,Full Time,Experienced,3-7 Yrs of Exp,Cairo,"Education, Admission, Student Affairs, Administration, Administration, Education/Teaching",3,7
Lab Physician,Cleopatra Hospitals Group, Mohandessin,Full Time,Experienced,5-7 Yrs of Exp,Giza,"Lab Physics, English, Medical, Healthcare, Medical/Healthcare",5,7
Senior Retail Sales Representative (Outdoor),Bingo Global, Cairo,Full Time,Experienced,2-5 Yrs of Exp,Egypt,"Outdoor Sales, Sales Target, Travel, MS Excel, Retail Sales, MS Office, Business Development, Customer Service/Support, Sales/Retail",2,5
Assistant Store Manager (Mansoura),A2Z Lingerie, Mansoura,Full Time,Experienced,2+ Yrs of Exp,Dakahlia,"Sales, Fashion Retail, Store Mangement, MS Office, English, MS Excel, Operations/Management, Sales/Retail, Fashion",2,4
Sales Representative,Power Solutions, 6th of October,Full Time,Experienced,2-4 Yrs of Exp,Giza,"Outdoor Sales, Sales Target, Selling, Sales/Retail",2,4
Site Engineer - Electrical,Power Solutions, Cairo,Full Time,Experienced,2-3 Yrs of Exp,Egypt,"Site Engineering, Electrical Engineering, Maintenance, Technical Documents, Technical Drawings, Lighting, Installation, Adobe",2,3
Route Merchandiser,Bingo Global, Cairo,Full Time,Entry Level,1-2 Yrs of Exp,Egypt,"Sales, Retail, Marketing, Merchandiser, Marketing/PR/Advertising, Sales/Retail",1,2
Site Engineer,Kandeel Group, New Cairo,Full Time,Experienced,5-10 Yrs of Exp,Cairo,"Construction, Architecture, AutoCAD, Project Management, Site, Design, Communication, 3D",5,10
Digital Campaigns Manager,Waradly, Maadi,Full Time,Manager,5+ Yrs of Exp,Cairo,"Social Media, E-marketing, Campaigns, Digital Content, Google, Analytics, Optimization, Creative/Design/Art",5,7
Human Resources Manager,Domiatec Holding, Obour City,Full Time,Manager,10+ Yrs of Exp,Cairo,"Human Resources (HR), Microsoft Office, Personnel, MBA, English, Payroll, Management, Human Resources, Operations/Management",10,12
Purchasing Supervisor,Confidential, Cairo,Full Time,Manager,5-15 Yrs of Exp,Egypt,"Procurement, Logistics, Supply Chain, Management, Logistics/Supply Chain, Operations/Management, Purchasing/Procurement",5,15
IT Specialist,M.Srour, Imbaba,Part Time,Experienced,2+ Yrs of Exp,Giza,"Domain Server, Networking, Microsoft SQL Server, Technical Support, TCP/IP, Information Technology (IT), Installation, CAM's",2,4
English Instructor - Maadi,Berlitz Egypt, Maadi,Part Time,Freelance / Project,0-2 Yrs of Exp,Cairo,"0-2 Yrs of Exp, 2 Vacancies, Languages, Linguistics, Training, Translation, Instructor, Education, IQP, Teaching",0,2
Logistics Coordinator,Silicon21, Nasr City,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Supply Chain, Logistics/Supply Chain, Purchasing/Procurement",3,5
Music Teacher,Mishkat Nour, Port Said,Part Time,Experienced,3-7 Yrs of Exp,Egypt,"Education, Music Teaching, Communication Skills, Choral Pedagogy, Education/Teaching",3,7
Programming Trainer,Mishkat Nour, Port Said,Part Time,Experienced,4-7 Yrs of Exp,Egypt,"C++, Java, Python, Programming Languages, Computer Science, Information Technology (IT), IT/Software Development",4,7
Teachers ( English - Arabic - Math - Science -...,Mishkat Nour, Port Said,Full Time,Part Time,1-8 Yrs of Exp,Egypt,"6 Vacancies, Females Preferred, English, Arabic, Maths, Science, Arts, Teaching, Education, Education/Teaching, Training/Instructor",1,8
Psychologist & Social Specialist - Cairo,Mishkat Nour, Nasr City,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Females Preferred, Communication Skills, Psychology, Healthcare, Mental Health, Education, Social Studies, Medical/Healthcare",2,4
Psychologist & Social Specialist - Portsaid,Mishkat Nour, Port Said,Full Time,Experienced,2+ Yrs of Exp,Egypt,"Females Preferred, Education, Psychology, Social Studies, Communication Skills, Healthcare, Mental Health, Medical/Healthcare",2,4
Sales Executive - Medical Marketing Company,Confidential, New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Sales Skills, Marketing, Sales Target, Pharmacy, Science, English, Medicine, Communication, Management, Customer Service",1,3
.NET Back-End Web Developer,Confidential, Cairo,Full Time,Experienced,2-5 Yrs of Exp,Egypt,"Computer Science, Software Development, javaScript, ASP.NET, C#, SQL, Agile, OOP, JSON, XML, Back End",2,5
Medical Sales Representative,Sky Medical for Medical Devices, Giza,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Science, Pharmacy, Sales Skills, R&D/Science, Sales/Retail, Pharmaceutical",3,5
Flutter Developer,Totals Tech, Al Ahmadi,Work From Home,Entry Level,1-3 Yrs of Exp,Kuwait,"app development, react native, Information Technology (IT), Computer Science, Software Development, Android, JSON, Flutter",1,3
.NET Developer (Desktop Application),Confidential, Manial,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Information Technology (IT), .NET, C#, Software Development, SQL, XML, OOP, Design Patterns, LINQ, FTP",2,5
Research & Development Manager,Confidential, Cairo,Full Time,Manager,15+ Yrs of Exp,Egypt,"Market Research, Development, Management, Pharmacy, Operations/Management, Analyst/Research, Pharmaceutical",15,17
Project Manager - Portsaid,Mishkat Nour, Port Said,Full Time,Manager,5-7 Yrs of Exp,Egypt,"Project Management, Engineering, Communication, PMP, Project/Program Management, Engineering - Other",5,7
Receptionist / Secretary,Dr hesham rashed dental clinic, Nasr City,Part Time,Shift Based,1-5 Yrs of Exp,Cairo,"2 Vacancies, Females Only, Office Management, Secretary, Admin Assistant, Administration, Customer Service, Customer Care, English",1,5
Project Manager - Cairo,Mishkat Nour, Cairo,Full Time,Manager,5-7 Yrs of Exp,Egypt,"Project Management, Engineering, Communication, PMP, Project/Program Management, Engineering - Other",5,7
Quality Assurance Specialist - Portsaid,Mishkat Nour, Port Said,Full Time,Experienced,4-7 Yrs of Exp,Egypt,"Quality Assurance, Quality Control, QA, QC, Communication Skills, Quality",4,7
Quality Assurance Specialist - Cairo,Mishkat Nour, Nasr City,Full Time,Experienced,4-7 Yrs of Exp,Cairo,"Quality Assurance, Quality Control, QA, QC, Quality",4,7
Call Center Agent - Portsaid,Mishkat Nour, Port Said,Full Time,Experienced,3-6 Yrs of Exp,Egypt,"Customer Service, Call Center, Customer Support, Microsoft Office, Customer Care, Communication Skills, CRM Systems, Customer Focus",3,6
Call Center Agent - Cairo,Mishkat Nour, Nasr City,Full Time,Experienced,3-6 Yrs of Exp,Cairo,"Customer Service, Call Center, Customer Support, Microsoft Office, Customer Care, Communication Skills, Customer Focus, CRM Systems",3,6
Graphic Designer - Portsaid,Mishkat Nour, Port Said,Full Time,Experienced,4-7 Yrs of Exp,Egypt,"Graphic Design, Adobe Photoshop, Adobe Illustrator, Fine Arts, Communication Skills, Creative/Design/Art",4,7
Graphic Designer - Cairo,Mishkat Nour, Nasr City,Full Time,Experienced,4-7 Yrs of Exp,Cairo,"Graphic Design, Adobe Photoshop, Adobe Illustrator, Fine Arts, Creative/Design/Art",4,7
Sales And Marketing Specialist (Females Only) -...,Mishkat Nour, Port Said,Full Time,Entry Level,0-3 Yrs of Exp,Egypt,"Marketing, Sales Skills, Sales Target, Communication Skills, Commerce, Community Service, Marketing/PR/Advertising, Sales/Retail",0,3
Customer Service Representative,Partners recruitment solutions, Maadi,Shift Based,Entry Level,1+ Yrs of Exp,Cairo,"Customer Service, Customer Care, Customer Support, English, CSR, Computer Skills, Customer Service/Support",1,3
Associate Infrastructure Consultant (Identity...,BlueCloud, Sheraton,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Computer Science, Computer Engineering, Microsoft Identity Manager, MIM, ITI, FIM, Microsoft Active Directory, Networks",1,3
Content Writer/Marketer,TensorGraph, Maadi,Full Time,Experienced,6+ Yrs of Exp,Cairo,"Creating Content, Social Media, Marketing, Content Management, Writing/Editorial, Marketing/PR/Advertising",6,8
Sales And Marketing Specialist (Females Only) -...,Mishkat Nour, Cairo,Full Time,Entry Level,0-3 Yrs of Exp,Egypt,"Marketing, Sales Skills, Sales Target, Customer Service, Communication Skills, Commerce, Community Service, Marketing/PR/Advertising",0,3
Human Resources Manager,Mishkat Nour, Nasr City,Full Time,Manager,5+ Yrs of Exp,Cairo,"Recruitment, Human Resources (HR), Performance Appraisal, Personnel, Microsoft Office, HR, Communication Skills, Excel, Commerce",5,7
Data Entry Analyst,Mishkat Nour, Cairo,Full Time,Experienced,3-6 Yrs of Exp,Egypt,"Data entry, Data Analysis, Microsoft Office, Economics, Computer Science, Mathematics, Statistics, Administration",3,6
Indoor Sales Representative,American Egypt Investment Company AEIC, Katameya,Full Time,Entry Level,1+ Yrs of Exp,Cairo,"Females Only, Sales Skills, Sales Indoor, Customer Service, Customer Support, Sales Target, Customer Service/Support, Sales/Retail",1,3
Store Keeper - Monufya,EGIC, Monufya,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Logistics, SAP, Inventory, Store Keeping, Logistics/Supply Chain",3,5
Store Keeper - Sharqia,EGIC, Sharqia,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Logistics, SAP, Inventory, Store Keeping, Logistics/Supply Chain",3,5
Store Keeper - Qalubia,EGIC, Qalubia,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Logistics, SAP, Inventory, Store Keeping, Logistics/Supply Chain",3,5
Store Keeper - Suez,EGIC, Suez,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Logistics, SAP, Inventory, Store Keeping, Logistics/Supply Chain",3,5
Store Keeper - Kafr Alsheikh,EGIC, Kafr Alsheikh,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Logistics, SAP, Inventory, Store Keeping, Logistics/Supply Chain",3,5
Store Keeper - Ismailia,EGIC, Ismailia,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Logistics, SAP, Inventory, Store Keeping, Logistics/Supply Chain",3,5
Store Keeper - Gharbia,EGIC, Gharbia,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Logistics, SAP, Inventory, Store Keeping, Logistics/Supply Chain",3,5
Digital Marketing/Growth Specialist (Saas),TensorGraph, Maadi,Full Time,Experienced,4+ Yrs of Exp,Cairo,"Campaigns, Social Media, E-marketing, SEO, SEM, Content, B2B, Writing/Editorial, Marketing/PR/Advertising",4,6
Store Keeper - Damietta,EGIC, Damietta,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Logistics, SAP, Inventory, Store Keeping, Logistics/Supply Chain",3,5
Store Keeper - Dakahlia,EGIC, Dakahlia,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Logistics, SAP, Inventory, Store Keeping, Logistics/Supply Chain",3,5
Store Keeper - Alexandria,EGIC, Alexandria,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Logistics, SAP, Inventory, Store Keeping, Logistics/Supply Chain",3,5
Store Keeper - Beheira,EGIC, Beheira,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Logistics, SAP, Inventory, Store Keeping, Logistics/Supply Chain",3,5
Sales Agent,Texly, Ain Shams,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Sales Skills, Communication, Negotiation, Presentation Skills, Selling, Customer Service, English, Management, Sales Target",1,3
IOS & Android Mobile Application Developer,Sharee Coin, New Cairo,Full Time,Experienced,2-3 Yrs of Exp,Cairo,"Information Technology (IT), Software Development, Computer Science, Git, JSON, RESTful, APIs, Kotlin, Swift, Mobile Development",2,3
Software Project Manager,BlueCloud, Sheraton,Full Time,Manager,3+ Yrs of Exp,Cairo,"PMP, Software Development, Computer Engineering, Computer Science, Service Delivery, Agile, Software Project, Communication Skills",3,5
Sales Engineer - Furniture,Confidential, Cairo,Full Time,Experienced,2+ Yrs of Exp,Egypt,"Sales Skills, Furniture, Interior Design, Architecture, Applied Arts, Sales Engineering, Engineering - Construction/Civil/Architecture",2,4
Full-Stack Developer (Node.js /React.js /...,Sharee Coin, New Cairo,Full Time,Experienced,3+ Yrs of Exp,Cairo,"React.js, Software Development, CSS, javaScript, Git, Angular, RESTfulWebServices, SQL, Databases, TypeScript, HTML, Linux, SVN",3,5
Oracle HCM Consultant,Pillars, Maadi,Full Time,Experienced,5-10 Yrs of Exp,Cairo,"HCM, Information Technology (IT), Fusion, SAP, NetSuite, French, English, Customer Management, Customer Service/Support",5,10
Digital Marketing Specialist,Autsera Limited, Dokki,Full Time,Experienced,3-7 Yrs of Exp,Giza,"Creative, Design, Social Media, Digital Marketing, E-marketing, Communication Skills, Communications, Content Management",3,7
Accountant,Smart EGAT, Haram,Full Time,Experienced,3-7 Yrs of Exp,Giza,"Finance, Financial Analysis, Analytical, Financial Management, MS Excel, Communication Skills, Accounting/Finance",3,7
Script Writer,Leadintop, Maadi,Full Time,Work From Home,0 Yrs of Exp,Cairo,"2 Vacancies, Social Media, E-marketing, Script Writing, Content Writing, Video Production, Writing/Editorial",0,2
HR Assistant,Leadintop, Maadi,Full Time,Entry Level,0-3 Yrs of Exp,Cairo,"Females Preferred, Human Resources (HR), Office Management, HR, HR Administration, Research, Administration, Human Resources",0,3
Social Media Moderator,Leadintop, Maadi,Full Time,Part Time,0-3 Yrs of Exp,Cairo,"8 Vacancies, Social Media, E-marketing, Communication Skills, Moderation, Marketing/PR/Advertising, Media/Journalism/Publishing",0,3
Sales Advisor (Educational MBA/DBA),Egyptian Cultural Center, Nasr City,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Sales Skills, Sales Target, Education, MBA, DBA, English, Sales/Retail, Education/Teaching",2,4
Senior DevOps Engineer,DIRAC SYSTEMS, Heliopolis,Full Time,Experienced,5-10 Yrs of Exp,Cairo,"Istio, ELK stack, Grafana, Logstash, Kibana, kubernetes, JenkinsX, Ansible, Alfresco, Spring Cloud, Docker, DevOps, API",5,10
Sales Executive,Marketing house Agency, Giza,Full Time,Entry Level,1+ Yrs of Exp,Egypt,"Sales Skills, Sales Target, Customer Service, Microsoft Office, English, Sales/Retail",1,3
Call Center Agent,Leadintop, Maadi,Full Time,Part Time,0 Yrs of Exp,Cairo,"8 Vacancies, Customer Service, Call Center, Customer Support, Customer Care, Communication Skills, Customer Service/Support",0,2
Key Accounts Manager - FMCG,Capital One holding for investment, New Cairo,Full Time,Experienced,4-6 Yrs of Exp,Cairo,"Sales Skills, Sales Target, Customer Care, Key Accounts, Negotiation Skills, HORECA, English, Microsoft Word, Microsoft Excel",4,6
Fashion Marketing Manager,Eagle, Mohandessin,Full Time,Manager,7-10 Yrs of Exp,Giza,"Market Research, Fashion Marketing, Communications, Public Relations (PR), Social Media, Management, Business Administration, English",7,10
Store Manager,Eagle, Mohandessin,Full Time,Manager,7-10 Yrs of Exp,Giza,"Store Management, Customer Management Skills, Retail, Fashion, Operations/Management, Sales/Retail, Fashion",7,10
Product Manager,Profolio Consulting, Maadi,Full Time,Manager,5-9 Yrs of Exp,Cairo,"Information Technology (IT), Sales, Engineering, Agile, Scrum, UX, Product Design, Account Management, Account Support",5,9
Senior Accountant,Profolio Consulting, Maadi,Full Time,Experienced,4+ Yrs of Exp,Cairo,"Accounting, Finance, Financial Analysis, Financial Management, English, CMA, CPA, MS Excel, MBA, MS, ACCA, Computer Skills",4,6
Financial Controller,Profolio Consulting, Maadi,Full Time,Manager,6-10 Yrs of Exp,Cairo,"Accounting, Financial Analysis, Financial Management, Budget, Compliance, Financial Controller, Financial Reporting, Accounting/Finance",6,10
Product Design Lead,Profolio Consulting, Maadi,Full Time,Manager,5-11 Yrs of Exp,Cairo,"Computer Engineering, Computer Science, UI, Figma, Sketch, Product Design, Design Strategy, Creative/Design/Art, IT/Software Development",5,11
